School,GradeSpan,MeasureID,Measure,Applicability,DataStatus,LatestValue,LatestPeriod
Congress,PK-5,1.2a,Graduation Rate,Not applicable,Not applicable,,
Congress,PK-5,1.2b,On-Track Credits,Not applicable,Not applicable,,
Congress,PK-5,1.3a,SAT EBRW Mean,Applicable,Data not yet loaded,,
Congress,PK-5,1.3b,SAT Math Mean,Applicable,Data not yet loaded,,
Congress,PK-5,1.4a,AP Enrollment,Applicable,Data not yet loaded,,
Congress,PK-5,1.4b,AP Exam Completion,Applicable,Data not yet loaded,,
Congress,PK-5,1.4c,AP Exam Passing,Applicable,Data not yet loaded,,
Congress,PK-5,1.10,Postsecondary Enrollment,Applicable,Data not yet loaded,,
Congress,PK-5,2.2,NWEA MAP Growth,Applicable,Data not yet loaded,,
Congress,PK-5,2.3a,M-STEP ELA,Applicable,Data not yet loaded,,
Congress,PK-5,2.3b,M-STEP Math,Applicable,Data not yet loaded,,
Congress,PK-5,2.4,Grade 3 Reading,Applicable,Data not yet loaded,,
Congress,PK-5,2.5,Grade 8 Math,Applicable,Data not yet loaded,,
Congress,PK-5,2.6,SAT Benchmark,Not applicable,Not applicable,,
Congress,PK-5,2.7,WIDA Growth,Applicable,Data not yet loaded,,
Congress,PK-5,3.1,Chronic Absence,Applicable,Validated data loaded,32.0%,2025
Congress,PK-5,3.2,Suspension,Applicable,Data not yet loaded,,
Congress,PK-5,3.3a,Belonging — MI Student Voice,Applicable,Data not yet loaded,,
Congress,PK-5,3.3b,Belonging — Panorama,Applicable,Data not yet loaded,,
Dickinson,PK-8,1.2a,Graduation Rate,Not applicable,Not applicable,,
Dickinson,PK-8,1.2b,On-Track Credits,Not applicable,Not applicable,,
Dickinson,PK-8,1.3a,SAT EBRW Mean,Applicable,Data not yet loaded,,
Dickinson,PK-8,1.3b,SAT Math Mean,Applicable,Data not yet loaded,,
Dickinson,PK-8,1.4a,AP Enrollment,Applicable,Data not yet loaded,,
Dickinson,PK-8,1.4b,AP Exam Completion,Applicable,Data not yet loaded,,
Dickinson,PK-8,1.4c,AP Exam Passing,Applicable,Data not yet loaded,,
Dickinson,PK-8,1.10,Postsecondary Enrollment,Applicable,Data not yet loaded,,
Dickinson,PK-8,2.2,NWEA MAP Growth,Applicable,Data not yet loaded,,
Dickinson,PK-8,2.3a,M-STEP ELA,Applicable,Data not yet loaded,,
Dickinson,PK-8,2.3b,M-STEP Math,Applicable,Data not yet loaded,,
Dickinson,PK-8,2.4,Grade 3 Reading,Not applicable,Not applicable,,
Dickinson,PK-8,2.5,Grade 8 Math,Not applicable,Not applicable,,
Dickinson,PK-8,2.6,SAT Benchmark,Not applicable,Not applicable,,
Dickinson,PK-8,2.7,WIDA Growth,Applicable,Data not yet loaded,,
Dickinson,PK-8,3.1,Chronic Absence,Applicable,Validated data loaded,39.8%,2025
Dickinson,PK-8,3.2,Suspension,Applicable,Data not yet loaded,,
Dickinson,PK-8,3.3a,Belonging — MI Student Voice,Applicable,Data not yet loaded,,
Dickinson,PK-8,3.3b,Belonging — Panorama,Applicable,Data not yet loaded,,
Gerald R. Ford Academic Center,PK-8,1.2a,Graduation Rate,Not applicable,Not applicable,,
Gerald R. Ford Academic Center,PK-8,1.2b,On-Track Credits,Not applicable,Not applicable,,
Gerald R. Ford Academic Center,PK-8,1.3a,SAT EBRW Mean,Applicable,Data not yet loaded,,
Gerald R. Ford Academic Center,PK-8,1.3b,SAT Math Mean,Applicable,Data not yet loaded,,
Gerald R. Ford Academic Center,PK-8,1.4a,AP Enrollment,Applicable,Data not yet loaded,,
